,Tweet_stemm
92,"['current', 'stand', 'seoul', 'music', 'award', 'vote', 'kwave', 'popular', 'legend', 'grand', 'prize', 'popular', 'main']"
93,['music']
94,"['sing', 'shit', 'wed']"
95,"['charley', 'prideyour', 'music', 'alway', 'remind', 'childhood', 'day', 'grandma', 'kawliga', 'kiss', 'angel', 'good']"
96,"['black', 'women', 'rlli', 'music', 'sparkl']"
97,"['rake', 'reenter', 'appl', 'music', 'chart', 'current', 'go', 'viral', 'tiktok']"
98,"['win', 'daesang', 'fact', 'music', 'award', 'encor', 'stage', 'middl', 'perform']"
99,"['jessica', 'resid', 'proud', 'brasileira', 'music']"
100,"['game', 'award', 'push', 'best', 'scoremus', 'categori', 'preshow', 'present', 'last', 'second']"
101,"['info', 'appl', 'music', 'global', 'dynamit', 'life', 'goe', 'sigamo', 'apoyando', 'chico', 'arm']"
102,"['news', 'charley', 'pride', 'pass', 'first', 'black', 'superstar', 'countri', 'music', 'accord']"
103,"['lone', 'boy', 'kroitor', 'help', 'pioneer', 'verit', 'music', 'documentari', 'time', 'day', 'five']"
104,"['think', 'link', 'gonna', 'work', 'want', 'appl', 'music', 'copi', 'link', 'aud']"
105,"['anyon', 'know', 'know', 'perform', 'alway', 'favorit', 'part', 'work', 'music', 'howev', 'time']"
106,"['yeah', 'make', 'sens', 'usual', 'dont', 'listen', 'stuff', 'background', 'nois']"
107,"['wanna', 'front', 'ocean', 'listen', 'wave']"
108,"['memori', 'countri', 'music', 'legend', 'charley', 'pride', 'announc', 'death', 'today', 'covid', 'complic']"
109,"['pandem', 'take', 'anoth', 'music', 'great', 'needless', 'loss']"
110,"['wait', 'fanmad', 'alic', 'music', 'video', 'concept', 'insan']"
111,"['barrierbreak', 'countri', 'music', 'legend', 'charley', 'pride', 'die', 'covid', 'complic', 'last', 'month', 'receiv']"
112,"['alway', 'wonder', 'shock', 'prejudic', 'would', 'endur', 'black', 'pioneer', 'countri', 'music', 'world']"
113,"['christma', 'music', 'deck', 'hall', 'jingl', 'punk', 'vocal', 'christma']"
114,"['think', 'need', 'sleep', 'also', 'want', 'sleep', 'let', 'listen', 'music']"
115,"['revisit', 'song', 'video', 'compos', 'time', 'last', 'year', 'happi', 'mònica', 'sparkl', 'pa']"
116,"['news', 'countri', 'music', 'pioneer', 'legend', 'mani', 'talent', 'grace', 'charley', 'pride', 'pass', 'away', 'covid']"
117,"['agre', 'camila', 'musicgtgt']"
118,"['nowplay', 'pray', 'drem', 'listen', 'dremtgi', 'dremstuff']"
119,"['kind', 'look', 'like', 'someth', 'take', 'music', 'video']"
120,"['ripcharleyprid', 'much', 'great', 'music', 'power', 'influenc']"
121,"['eunhyuk', 'hyukja', 'bach', 'father', 'music', 'music', 'father', 'music', 'teacher', 'sooman']"
122,"['monstax', 'melon', 'music', 'award', 'best', 'perform', 'trophi', 'hello', 'monbeb', 'best', 'perform', 'award', 'mma']"
123,"['music', 'make', 'much', 'funnier']"
124,"['charley', 'pride', 'alway', 'legend', 'countri', 'music', 'truli', 'miss', 'alway', 'rememb', 'great', 'music']"
125,"['surpris', 'amazon', 'music', 'need', 'know']"
126,"['covid', 'hit', 'keep', 'come']"
127,"['miss', 'live', 'music', 'fuck', 'much']"
128,"['rest', 'peac', 'charley', 'frank', 'pride', 'becam', 'countri', 'music', 'first', 'black', 'superstar', 'son']"
129,"['look', 'block']"
130,"['queen', 'music', 'industri']"
131,['music']
132,"['ice', 'cream', 'current', 'best', 'sell', 'femal', 'kpop', 'music', 'video', 'itun']"
133,"['what', 'happen', 'yall', 'actual', 'like', 'boy', 'music', 'enjoy', 'boy', 'artist', 'musi']"
134,"['love', 'cast', 'write', 'perform', 'music', 'rock']"
135,"['almost', 'gbampgr', 'arbor', 'least', 'half', 'drfl', 'unreleas', 'blue', 'music', 'song']"
136,"['let', 'fuck', 'slow', 'reverb', 'music']"
137,"['fuck', 'music', 'channel', 'chronic', 'day']"
138,"['mean', 'keyshia', 'ashanti', 'could', 'play', 'music', 'phone', 'verzuz']"
139,"['pride', 'countri', 'music']"
140,"['nowher', 'wrote', 'song', 'told', 'need', 'make', 'life', 'plan', 'music', 'that', 'cool']"
141,"['littl', 'sister', 'realli', 'show', 'night', 'chang', 'say', 'listen', 'song', 'found', 'harri', 'style']"
142,"['middl', 'film', 'music', 'video', 'eric', 'spyfart']"
143,"['amazon', 'amico', 'smart', 'light', 'bulb', 'music', 'sync', 'rgbcw', 'color', 'chang', 'smart', 'bulb', 'lightn', 'deal']"
144,"['fact', 'music', 'award', 'gidl', '여자아이들']"
145,"['complet', 'agre', 'sole', 'speak', 'music', 'said', 'age', 'well', 'obvio']"
146,"['gospelradiopromoad', 'determin', 'strong', 'faith', 'victori', 'word', 'describ', 'gospel']"
147,"['congratul', 'tonight', 'natrad', 'winner', 'includ', 'thank', 'well', 'done']"
148,"['fact', 'music', 'award', 'perform', 'incept', 'thanxx', '에이티즈', 'ateez']"
149,"['make', 'music', 'video']"
150,"['michael', 'jackson', 'thriller', 'giveaway', 'simpli', 'follow', 'like', 'post', 'retweet', 'pleas', 'note']"
151,"['rest', 'peac', 'charley', 'pride', 'parent', 'fan']"
152,"['thank', 'tonight']"
153,"['listen', 'british', 'music', 'reach', 'cord', 'respect']"
154,"['hear', 'coacoac', 'even', 'excit', 'music', 'loui', 'work', 'truli', 'go']"
155,"['stori', 'charley', 'pride', 'die', 'music', 'univers']"
156,"['congratul', 'seventeen', 'win', 'fact', 'music', 'award', 'year', 'artist']"
157,"['pray', 'wit', 'better', 'music', 'point', 'live']"
