,Tweet
83,"RT @bestboywonuu: #SEVENTEEN THE FACT MUSIC AWARDS (PERFORMANCES) 

link: https://t.co/hJ32nNMncU
#SVTonTMA #SEVENTEEN @pledis_17 https://t…"
84,"RT @BroadwyBriddell: But also this is a great time to reiterate how much better things were when artists were just in quarantine like us, p…"
85,"@taiherman78 @Z0UIS91 harries are harrys solo fans that aren’t ot5s. just saying, ot5 already includes their solo m… https://t.co/fqCd69EF8J"
86,@Hiiipergaze ive seen his face before but i like to imagine hes some ancient 89 year old man who makes ambient musi… https://t.co/xbmVVVLrQ2
87,like miss Ashanti didn’t have to accept the battle to begin w. It’s ok bc the show must go on via Apple Music and i… https://t.co/LcmRYaIaj6
89,@jjjbabyluw @mheelerwike Music to be murdered by -EMINEM- vinyle
90,RT @haruhoshiiii: can someone put him in a music box 😭 https://t.co/rWW5PTUahU
91,"RT @chartdata: Biggest 2020 Spotify debuts:
#1 folklore 81M
#2 EL ÚLTIMO TOUR DEL MUNDO 77M
#3 Legends Never Die 75M
#4 evermore 67M
#5 YHL…"
94,What’s something that pisses you off and you don’t know why ? Mine is jazz music lmaoo
95,AJ making hard work of this one
96,"New Music Alert!!

Release date: 16 December 2020 on major digital distribution platforms

Hotbox Records, for the… https://t.co/aKNqYcrLEJ"
98,Country music star Charley Pride dies from coronavirus complications https://t.co/BEXRwfuLFU
99,"The first time I went to Ibiza, I've told this story before but it was in 1996

My friend who had a residency at Ca… https://t.co/EFObSgMK5S"
100,RT @Intl_k_army: Joon is talking about all those artists who keep making music despite the situation without being able to do online concer…
101,"@RadioShannon @opry So sad to hear this.  I always liked his music, my parents listened to his music when I was growing up."
102,"Country music's Charlie Pride passed away today.😢 I was raised on his music... such amazing talent.  I'll miss you,… https://t.co/nVX1pB8MNj"
103,"RT @btsvotingorg: BTS current standing on Seoul Music Awards voting:

#1 Kwave Popularity (🚨)
#2 Legend Grand Prize
#4 Popular
#11 Main
#6…"
104,Music https://t.co/VLXw3nSIet
106,Ima have ⁦@NellyNelMB⁩ sing dis shit at my wedding 😂 https://t.co/ghHSmfZmPg
107,"RT @TheBrandyClark: Charley Pride....your music will always remind me of childhood days with my Grandma. “Kaw-Liga”, “Kiss an Angel Good Mo…"
108,RT @UNGODLYERA: black women rlly run music✨🤎 https://t.co/YWfTlXXFae
109,"RT @NickiDaily: .@YoGotti &amp; @NickiMinaj’s “Rake It Up” has re-entered the Apple Music chart.

— It’s currently going viral on TikTok. https…"
110,RT @allkpop: BTS wins Daesang at 'The Fact Music Awards' yet their encore stage was cut off in the middle of their performance https://t.co…
111,"@DrBryanLeyva I am Jessica Liu, 
1️⃣ IM resident @MetroWestMedCtr 
2️⃣ Proud to be Brasileira! 🇧🇷 🇧🇷 
3️⃣ Music, pl… https://t.co/PxB8KWU39w"
112,"RT @wheel_able: The Game Awards pushed the ""best score/music"" category to the pre-show, where its presentation lasted 58 seconds, and the c…"
113,"RT @BB_Votaciones: [INFO📊] (@BTS_twt) 

Apple Music Global🌎

#32 Dynamite (-26) 
#98 Life Goes On (-45) 

Sigamos apoyando a los chicos Arm…"
114,"RT @BitterSouth: Very sad news. Charley Pride has passed. He was the first Black superstar of country music. He was 86. 

According to @var…"
115,"RT @nonfics: With ‘Lonely Boy,’ Kroitor helped to pioneer the verite music documentary that we see all the time these days and it was five…"
116,@smolbeanlarrie i don’t think a link is gonna work but if u want it on ur apple music just copy a link with the aud… https://t.co/rqkGfuv5uq
117,"RT @Harry_Styles: Anyone who knows me, knows that performing has always been my favorite part of working in music.
 
However, during times…"
118,"@goosemaaa Yeah that makes a lot of sense, I usually don't listen to their stuff when I use it as background noise… https://t.co/jL2w9Dex2R"
119,RT @lmaowth_: I just wanna sit in front of the ocean &amp; listen to the waves
120,"RT @bconnolly00: @CTVNews In memory of country music legend Charley Pride on the announcement of his death today of #COVID19 complications,…"
122,RT @christinawilkie: The pandemic takes another musical great. Such a needless loss.  https://t.co/cKBnYl3FLW
123,RT @MlSTERGAGA: wait this fan-made alice music video concept is INSANE https://t.co/AZzQxzx1Aj
124,"Barrier-breaking country music legend Charley Pride dies of Covid-19 complications. Last month, he had just receive… https://t.co/U3f5A8WqaC"
